주민등록번호,이름,연봉,결혼여부,자녀수,부양가족수,의료비공제액,교육비공제액,주택자금공제액,기부금공제액,신용카드사용액,체크카드사용액,현금영수증사용액,연금저축공제액,퇴직연금공제액,소득공제총액
150418-1582650,심준호,36000000,미혼,2,4,1480000,2380000,3800000,1370000,190080000,27640000,39710000,2460000,4130000,15620000
090200-2815163,우수빈,58900000,미혼,1,1,2550000,1870000,2530000,60000,104490000,37810000,3640000,3700000,3630000,14340000
730415-1296260,김진우,22490000,기혼,1,2,400000,1130000,3800000,810000,169840000,83680000,12620000,2590000,4120000,12850000
680704-1721814,최미경,82510000,미혼,1,2,4950000,2060000,4220000,80000,31300000,56560000,10560000,1910000,4540000,17760000
050501-2313231,박현준,32290000,미혼,1,1,190000,1770000,930000,1630000,53510000,81190000,33000000,3350000,1630000,9500000
760300-1685550,최상철,80900000,미혼,1,1,510000,2390000,7610000,840000,130160000,53260000,36160000,1520000,3110000,15980000
630421-2257019,김도윤,30880000,기혼,2,1,430000,1370000,5940000,1930000,190870000,11880000,49000000,3790000,4150000,17610000
990017-2471795,김준혁,73870000,미혼,2,4,1910000,1440000,1020000,210000,115190000,43130000,41300000,2000000,1350000,7930000
320124-1024720,김정희,87560000,기혼,1,4,670000,560000,6640000,1210000,143900000,43520000,38790000,1070000,6870000,17020000
120804-2928232,최영자,71280000,미혼,0,2,3370000,900000,6130000,1480000,154580000,11980000,19890000,1640000,2530000,16050000
450800-1945192,이현주,64350000,기혼,2,2,2190000,1380000,7870000,720000,26300000,26870000,42710000,990000,1180000,14330000
520511-2243389,곽예준,80260000,미혼,2,4,3410000,2610000,2160000,70000,128970000,52920000,25110000,810000,1160000,10220000
690911-1010356,고지민,31280000,미혼,3,5,1420000,180000,2480000,420000,61620000,75580000,24820000,3750000,3190000,11440000
710923-2252132,문숙자,66070000,미혼,3,4,950000,1640000,7350000,1470000,47650000,9510000,32060000,2340000,2750000,16500000
340721-1060638,김상훈,94500000,기혼,3,5,1980000,2820000,4430000,1520000,172010000,23180000,20390000,3940000,1080000,15770000
140312-1394070,김정남,70380000,기혼,3,2,3920000,100000,7710000,1360000,183320000,14990000,5960000,3370000,6390000,22850000
100319-2713337,구승민,48010000,미혼,3,5,4810000,1520000,2780000,1850000,134070000,96140000,21740000,3720000,3860000,18540000
100414-1097115,김현지,29580000,미혼,2,1,2280000,420000,110000,1420000,84640000,45140000,4110000,930000,2220000,7380000
070512-1628205,박서윤,70300000,미혼,0,1,3780000,2550000,1920000,1320000,173020000,98740000,6750000,3760000,5250000,18580000
430908-2016653,양채원,57870000,미혼,2,5,160000,1170000,1300000,1820000,22150000,15980000,32000000,720000,540000,5710000
380717-1138152,허정남,42610000,미혼,1,5,4380000,1020000,1290000,1330000,97810000,93400000,31170000,290000,4860000,13170000
510206-1562886,권승민,69070000,미혼,0,5,4030000,2220000,7210000,620000,182700000,81240000,25910000,3050000,4870000,22000000
010828-1836707,황윤서,47990000,기혼,0,2,3400000,310000,7690000,800000,163460000,89170000,11740000,360000,3260000,15820000
430208-2331991,장순옥,81780000,미혼,2,3,1850000,600000,5770000,1960000,106020000,59480000,48640000,2310000,2490000,14980000
040916-1766404,허정숙,82800000,기혼,1,5,3140000,1630000,1170000,600000,46100000,56450000,41130000,2800000,1380000,10720000
890116-2688020,김선영,52510000,기혼,1,5,3260000,1880000,3810000,480000,182550000,40440000,43410000,2800000,5560000,17790000
120612-1283788,노예진,56380000,미혼,3,1,2100000,2040000,7500000,1390000,114190000,31680000,9620000,3500000,4030000,20560000
050327-2865611,김지현,61680000,기혼,0,5,820000,1260000,2600000,390000,158740000,33640000,10360000,2240000,4020000,11330000
290016-1845209,전현준,98300000,기혼,1,1,4220000,2350000,7530000,1880000,70460000,75240000,15520000,1010000,6220000,23210000
720005-2801462,이준영,96980000,기혼,1,1,3360000,2360000,1420000,30000,21670000,66520000,32270000,3910000,4870000,15950000
480628-2020233,송순옥,73710000,기혼,2,3,1680000,900000,4140000,1180000,34280000,89160000,34130000,2810000,6350000,17060000
690315-2640294,김영길,46050000,기혼,0,2,2600000,280000,290000,1770000,152250000,15630000,33000000,3710000,1520000,10170000
130420-1467583,류지후,63180000,기혼,3,2,1180000,2140000,1210000,1730000,51880000,23590000,41810000,160000,6820000,13240000
870920-1199868,이상현,63380000,기혼,0,4,4350000,2580000,4380000,1860000,166290000,31770000,23740000,2640000,730000,16540000
580822-1597208,류준서,85580000,기혼,1,5,2840000,1940000,3980000,590000,78190000,91900000,35180000,3990000,3160000,16500000
560605-1648989,강성훈,96990000,미혼,3,5,2430000,600000,6890000,210000,63850000,60050000,14100000,740000,5680000,16550000
280910-2639924,심병철,58540000,미혼,1,5,2280000,2920000,7950000,460000,95330000,74020000,29550000,2100000,4130000,19840000
240506-1909993,김정희,32780000,미혼,2,5,1290000,2940000,5970000,670000,84910000,24720000,31750000,1890000,3600000,16360000
170512-1128635,장은서,74250000,미혼,2,3,480000,840000,3670000,1610000,101220000,9470000,22340000,3600000,6730000,16930000
010405-2912263,김영숙,73820000,미혼,3,5,3250000,2160000,5090000,860000,17690000,20920000,47220000,100000,6760000,18220000
790015-2342704,윤미경,50800000,미혼,3,3,3020000,2430000,2300000,540000,71700000,36810000,36470000,1210000,6050000,15550000
370721-1081755,안경희,63300000,미혼,3,2,3240000,2820000,150000,230000,154570000,44810000,4540000,560000,330000,7330000
720609-1094609,최미정,24070000,미혼,1,1,4300000,720000,6010000,1980000,164390000,51430000,16660000,1180000,770000,14960000
690401-1905871,김예은,44630000,기혼,0,5,670000,510000,2160000,1280000,37000000,51860000,12840000,1610000,2430000,8660000
200113-2873044,문영길,82280000,기혼,0,5,900000,1400000,7320000,660000,54180000,64810000,47450000,3280000,4130000,17690000
020714-1117724,박영환,69320000,미혼,0,1,1010000,1330000,6010000,940000,35870000,9770000,17280000,1820000,3840000,14950000
690328-1828275,진승민,49950000,미혼,0,4,3120000,1680000,5720000,1140000,111920000,97700000,3880000,2220000,4150000,18030000
180229-2342127,박정호,23940000,미혼,0,5,1300000,680000,2580000,390000,65120000,7420000,18290000,2610000,1980000,9540000
250419-2400900,김현준,24160000,기혼,2,3,1370000,500000,7350000,1790000,153200000,89520000,9110000,1730000,6920000,19660000
920712-2026416,김지원,71790000,기혼,3,4,4420000,2380000,4650000,980000,143590000,5010000,4810000,2310000,6390000,21130000
530319-1221032,이하윤,83550000,미혼,3,2,1990000,1120000,7010000,900000,127200000,51630000,19130000,2410000,5140000,18570000
970801-2365415,이정웅,26510000,기혼,2,1,1100000,840000,220000,1670000,56080000,25960000,44150000,990000,1980000,6800000
770308-1084672,우정식,85740000,기혼,0,1,3060000,1420000,860000,1630000,90510000,74860000,48110000,2470000,3520000,12960000
310112-2667708,이성현,21740000,기혼,0,5,1660000,1940000,2690000,630000,196600000,7380000,21420000,2330000,2400000,11650000
480320-1667675,박정남,34740000,기혼,1,1,1080000,1450000,2580000,480000,73220000,9330000,15760000,2120000,590000,8300000
590801-2102785,김하은,52840000,미혼,1,3,1770000,1880000,2710000,520000,92920000,50690000,44490000,1390000,3430000,11700000
570818-2369749,이영숙,94900000,기혼,2,1,3040000,2390000,240000,1210000,199620000,33950000,23240000,1000000,50000,7930000
500913-1762593,김아름,56440000,미혼,3,3,4950000,450000,390000,1340000,150800000,42560000,38770000,820000,4350000,12300000
580425-1939147,박준호,25190000,기혼,2,2,2570000,400000,580000,1610000,84780000,61240000,14470000,760000,940000,6860000
280119-1242943,김정훈,46830000,미혼,0,4,2120000,270000,1380000,1390000,157260000,97620000,47320000,3280000,0,8440000
680423-2072113,이시우,86900000,미혼,0,4,3540000,1680000,720000,1290000,137000000,83760000,11230000,2580000,20000,9830000
400106-2859509,황하은,81420000,기혼,3,1,1410000,2680000,6360000,1740000,119240000,64060000,45550000,730000,6470000,19390000
460108-1375694,양선영,30580000,기혼,1,2,4600000,590000,4700000,1890000,41950000,63920000,14970000,3860000,2280000,17920000
270105-2177613,박우진,78790000,기혼,0,4,2510000,1550000,2310000,960000,167430000,54270000,30180000,1490000,4410000,13230000
300516-2164232,이현주,94060000,미혼,2,1,1200000,1880000,5380000,420000,190940000,15830000,45700000,220000,3940000,13040000
340927-1529680,이예준,66460000,기혼,3,4,3450000,600000,4990000,1750000,127840000,21540000,5760000,210000,5180000,16180000
580124-2558239,최정훈,74000000,미혼,0,4,4240000,1630000,4260000,350000,188250000,6020000,44680000,2960000,6900000,20340000
530409-1685792,권병철,72290000,기혼,2,2,3560000,2110000,1000000,1730000,41930000,55130000,49570000,1370000,5660000,15430000
370818-2049779,백영순,23260000,기혼,0,4,1270000,2150000,5430000,230000,175370000,74360000,16820000,1280000,610000,10970000
640300-2053687,권영환,63420000,기혼,2,2,3340000,2060000,4840000,1530000,132660000,41510000,5660000,2290000,6740000,20800000
360401-2043816,진정자,79860000,기혼,1,1,910000,2360000,2150000,140000,26390000,36660000,7120000,330000,2500000,8390000
120911-2261778,김성훈,25910000,미혼,1,2,2880000,1850000,1170000,510000,182280000,98370000,38140000,930000,1370000,8710000
300826-1061851,이옥순,88550000,미혼,1,2,2300000,2260000,10000,1450000,78750000,86170000,16410000,2240000,3600000,11860000
900815-1687663,윤미숙,80590000,미혼,2,5,950000,1240000,3660000,1460000,131770000,40940000,7390000,2110000,2550000,11970000
270526-1311598,이성진,97190000,미혼,1,3,3520000,1140000,5650000,750000,100920000,37140000,40760000,3370000,3340000,17770000
440627-2762935,김광수,81630000,미혼,3,2,80000,2450000,1920000,2000000,58790000,79050000,49120000,1560000,5150000,13160000
550713-1396005,하민수,24840000,미혼,3,1,4100000,740000,3960000,1040000,160510000,69090000,48760000,3400000,2110000,15350000
220809-1577373,조은서,45480000,미혼,3,5,3390000,2640000,2340000,1520000,82930000,40990000,11270000,1350000,2530000,13770000
170606-1877033,이미정,42870000,기혼,2,3,1630000,2830000,5420000,610000,118880000,55190000,36700000,2490000,5730000,18710000
890121-1449785,나은지,60180000,기혼,2,3,3430000,240000,1790000,470000,93600000,62760000,11610000,1590000,4310000,11830000
940527-1233828,이은지,35790000,기혼,3,5,2810000,1090000,7810000,1780000,191220000,27620000,12920000,3500000,1120000,18110000
900117-1112828,김경희,54940000,미혼,2,2,990000,2420000,6820000,1730000,26920000,89800000,9290000,1860000,4750000,18570000
950414-1199804,하경숙,83710000,기혼,1,3,4480000,220000,2600000,1890000,156320000,35510000,48920000,1910000,2170000,13270000
350908-1585084,윤민서,40320000,미혼,3,4,1010000,1670000,700000,410000,178730000,52570000,40910000,120000,5080000,8990000
580601-2667290,서수진,39600000,미혼,0,4,4180000,2090000,1640000,1360000,144940000,69220000,33420000,510000,2240000,12020000
460600-1052947,이순자,31390000,미혼,3,4,1070000,1230000,3740000,610000,88480000,44470000,47860000,180000,6860000,13690000
870105-1967422,이병철,99880000,기혼,2,4,4460000,310000,400000,560000,187010000,77360000,46780000,2160000,2470000,10360000
000301-2826523,이민석,20370000,미혼,3,3,3630000,1990000,7050000,650000,137810000,54900000,47660000,1520000,5080000,19920000
120421-2363466,임은서,63240000,미혼,0,3,3910000,1520000,7240000,1740000,22050000,58860000,29540000,1870000,3650000,19930000
230222-2539550,최준서,90870000,기혼,1,3,2370000,1090000,960000,1640000,174770000,49900000,29380000,300000,6350000,12710000
950111-2433578,이민지,50770000,기혼,3,4,2130000,730000,3490000,970000,37570000,79240000,26270000,2030000,2400000,11750000
940701-1627878,김준영,50570000,기혼,2,3,2370000,340000,4060000,1150000,74590000,79500000,31610000,1620000,3950000,13490000
900503-1168466,박영철,61530000,미혼,2,4,2730000,2840000,3750000,1040000,167850000,88570000,8420000,2310000,1170000,13840000
820113-2730547,김현숙,24630000,미혼,1,4,4560000,1090000,5200000,340000,104170000,48280000,20770000,2880000,1650000,15720000
020220-2648412,손민서,97100000,미혼,3,3,4940000,690000,820000,440000,164420000,69560000,40650000,3270000,1300000,11460000
310427-2780365,장정순,28000000,기혼,1,3,620000,1220000,3310000,1810000,114070000,49480000,29720000,840000,560000,8360000
450504-2207725,최성호,95250000,미혼,1,2,990000,130000,5100000,560000,167110000,83640000,2290000,1590000,6920000,15290000
600100-2175850,최정자,79730000,미혼,0,4,2720000,240000,7910000,420000,189450000,23080000,3740000,2110000,4710000,18110000
740109-2055289,김지영,77410000,기혼,2,2,4630000,680000,2950000,300000,61640000,28480000,2110000,2790000,140000,11490000
240322-1368622,이승민,86630000,미혼,3,5,890000,300000,6570000,1810000,62190000,26340000,15420000,3100000,3040000,15710000
460925-2344590,이영진,38350000,기혼,1,1,3690000,2070000,1840000,1210000,74420000,13280000,2030000,1270000,4570000,14650000
110028-2302277,권현정,46940000,기혼,2,4,4460000,1040000,4500000,50000,136530000,97350000,39500000,1340000,3900000,15290000
610621-2710465,이종수,92320000,기혼,3,2,4800000,1560000,250000,1600000,89510000,59870000,41560000,700000,4050000,12960000
020311-1796236,김지혜,37070000,미혼,2,2,4720000,1460000,3240000,1130000,61540000,48400000,12800000,2370000,1170000,14090000
330416-1333380,안지후,60770000,기혼,3,1,4660000,1010000,4160000,1620000,67100000,87250000,9280000,2840000,1740000,16030000
420911-1160469,김현정,20980000,기혼,2,3,3860000,1380000,7950000,740000,34580000,26970000,27260000,3040000,4620000,21590000
200300-2263230,이미영,85060000,기혼,3,1,3190000,1620000,6720000,1630000,89670000,66830000,14730000,3710000,4320000,21190000
160128-2628204,권도윤,86290000,미혼,1,4,2820000,2670000,2560000,830000,128980000,81200000,8790000,3590000,760000,13230000
460716-2363435,윤민서,74110000,기혼,1,1,2580000,520000,3590000,910000,56560000,5500000,42930000,3300000,5640000,16540000
850129-2448797,이경수,54130000,미혼,0,1,3900000,1110000,2500000,1950000,20340000,98880000,2940000,1780000,5910000,17150000
430708-2494237,윤영길,80390000,기혼,0,1,1490000,480000,6170000,280000,89710000,91750000,19520000,560000,3790000,12770000
970619-2070511,이서준,56540000,미혼,3,3,2110000,1340000,5600000,1340000,66800000,44390000,21990000,2000000,2180000,14570000
370005-1559200,박도현,26340000,기혼,3,5,4550000,1610000,910000,830000,135400000,22370000,44710000,2260000,5940000,16100000
490121-1915557,김민수,37410000,기혼,0,5,360000,550000,7060000,520000,61330000,12790000,39770000,50000,6720000,15260000
450627-1788839,이영호,90960000,미혼,3,3,3310000,160000,3380000,1320000,40800000,83560000,42680000,690000,4590000,13450000
410500-2398466,이시우,63190000,미혼,3,1,420000,1540000,5380000,1870000,83720000,55630000,40480000,2050000,5370000,16630000
140401-2840710,문서준,95780000,기혼,1,2,3660000,590000,3740000,1780000,17360000,93880000,46660000,980000,2270000,13020000
220917-2626691,이지훈,41370000,미혼,0,1,430000,370000,6020000,1040000,167830000,86260000,5620000,3970000,2510000,14340000
620802-2229688,김경희,22600000,미혼,1,5,3200000,1980000,2380000,1260000,192550000,40240000,21520000,990000,1590000,11400000
790624-2288441,김영미,91600000,기혼,1,5,100000,1240000,2410000,340000,125590000,34160000,15100000,3440000,6750000,14280000
570722-1959680,이은경,33250000,미혼,1,4,1320000,740000,4230000,130000,169450000,95260000,26890000,430000,1440000,8290000
590407-1956596,지하은,33770000,기혼,3,5,350000,470000,1330000,550000,103050000,52370000,28570000,2660000,5010000,10370000
860318-2079496,송영호,56760000,기혼,1,3,4150000,2620000,6450000,1280000,141150000,37040000,5730000,30000,4940000,19470000
300201-2760838,강영철,52540000,미혼,2,4,2990000,1000000,950000,1820000,172340000,8910000,20150000,1390000,2590000,10740000
030800-1409764,박동현,47910000,미혼,2,3,3090000,930000,4750000,230000,40700000,42200000,16640000,350000,2090000,11440000
110914-2372398,강지원,47620000,기혼,0,4,3600000,2490000,5330000,1770000,89360000,67680000,20720000,3020000,4620000,20830000
640109-2012916,손정훈,82500000,미혼,0,1,1390000,1030000,7700000,1590000,156890000,28420000,15920000,3160000,730000,15600000
640108-1753487,김서준,86180000,미혼,3,5,4460000,1360000,2560000,1840000,178470000,36880000,20120000,3590000,3580000,17390000
640927-2311534,이상현,93680000,미혼,3,4,3070000,230000,3310000,1810000,169530000,27200000,42680000,2990000,1770000,13180000
860314-2960987,박영자,88480000,미혼,0,4,1390000,110000,850000,740000,18670000,86730000,18210000,2830000,3990000,9910000
720319-1904751,이승현,20740000,미혼,3,2,4110000,1070000,1660000,620000,83150000,26800000,47910000,2050000,400000,9910000
390918-2613406,손영철,76550000,미혼,3,5,2830000,190000,6350000,970000,165360000,85300000,14580000,2570000,6310000,19220000
950307-2359630,이상철,93740000,기혼,2,2,4540000,2720000,1770000,1650000,66180000,53110000,38030000,450000,1650000,12780000
910907-2719839,김성호,43460000,미혼,1,3,4780000,1880000,7850000,1800000,85050000,47140000,33610000,2780000,3450000,22540000
140407-2099882,김채원,98340000,미혼,2,5,330000,160000,2520000,1820000,57730000,14190000,40610000,2760000,1180000,8770000
040329-2614333,김건우,86450000,미혼,1,5,4190000,2580000,7660000,1700000,57720000,7980000,5370000,1940000,1510000,19580000
400418-1514021,이준혁,82970000,기혼,3,2,2010000,1080000,4310000,1880000,16630000,99550000,7140000,2620000,5030000,16930000
520524-2601046,이영호,84480000,미혼,1,1,2490000,2350000,1560000,30000,197750000,56570000,41560000,1020000,390000,7840000
620500-2649486,최상호,27230000,미혼,1,5,600000,2580000,940000,920000,103570000,81430000,7430000,2860000,5800000,13700000
860819-2183303,양지우,56570000,미혼,0,4,4060000,1210000,5740000,960000,193360000,38640000,34530000,3530000,3970000,19470000
050116-2149246,김정남,35380000,미혼,0,4,980000,220000,4460000,910000,12220000,93020000,11000000,3580000,1860000,12010000
480109-1934282,이지은,43700000,기혼,0,1,4990000,540000,6580000,1740000,156450000,70680000,47470000,130000,6310000,20290000
550218-2805269,김수빈,64700000,미혼,1,2,30000,780000,1960000,840000,100530000,13930000,3910000,2120000,5570000,11300000
680320-2846375,박옥순,74320000,미혼,2,5,3920000,210000,2240000,1670000,108600000,30430000,39360000,2020000,4220000,14280000
630729-1963739,문영호,61170000,미혼,3,5,3020000,140000,880000,640000,181950000,75190000,48990000,860000,1380000,6920000
630020-1697742,이서준,83750000,기혼,2,3,1860000,1770000,3800000,220000,69810000,94310000,5360000,2680000,740000,11070000
720807-2691935,임민지,79900000,미혼,1,1,820000,2450000,4380000,750000,21890000,70780000,19930000,3440000,1600000,13440000
420505-1103814,김지현,51890000,미혼,3,3,3890000,900000,1660000,1050000,103280000,47880000,37630000,670000,6440000,14610000
950622-1680411,김서영,92150000,미혼,3,4,1950000,2370000,130000,720000,62530000,73570000,2140000,1710000,6130000,13010000
060828-1812590,배예은,69270000,미혼,1,1,1830000,1540000,3750000,1770000,189520000,80610000,42350000,3060000,4750000,16700000
920926-2053256,최정훈,91810000,미혼,0,3,2150000,990000,4700000,1390000,51830000,99560000,30720000,2840000,3950000,16020000
430726-1666245,최영길,28890000,미혼,1,5,1640000,2080000,4270000,1370000,151940000,80940000,42090000,10000,3800000,13170000
620528-2280747,강정호,62000000,미혼,2,5,1210000,1200000,3200000,970000,40260000,47540000,14140000,2070000,4650000,13300000
130804-1603036,차영철,51610000,미혼,2,5,160000,2780000,300000,1030000,128280000,89130000,33630000,1490000,2070000,7830000
250300-1968642,장혜진,56130000,기혼,0,3,3450000,560000,6930000,390000,61070000,63920000,19660000,2540000,1420000,15290000
630401-2351236,김경숙,60580000,기혼,3,2,930000,2660000,3620000,1580000,198920000,20410000,44710000,1380000,3090000,13260000
340218-1665985,김은정,93050000,미혼,2,3,1720000,150000,4430000,1570000,12430000,74910000,20210000,1800000,4450000,14120000
400027-2496618,윤선영,41640000,미혼,1,4,760000,2020000,2020000,1050000,151840000,19610000,33050000,3140000,5960000,14950000
170629-1508560,정경수,61870000,기혼,2,5,3330000,680000,5960000,170000,68260000,10050000,19180000,3010000,3220000,16370000
200907-2158603,양지후,67130000,기혼,3,4,3890000,210000,6390000,1670000,36820000,29720000,35660000,2950000,2620000,17730000
680804-1461425,윤은지,62670000,기혼,2,5,3140000,1400000,5160000,990000,70140000,39060000,27820000,2120000,1190000,14000000
980609-1758147,최현우,95650000,미혼,3,5,1830000,1330000,3690000,280000,187860000,88680000,43600000,3870000,1880000,12880000
490514-1500844,김정웅,88730000,기혼,2,3,1360000,470000,240000,950000,109940000,85950000,29360000,1780000,630000,5430000
280912-2867131,최옥자,52380000,기혼,0,3,1370000,920000,7390000,800000,163350000,74500000,10850000,80000,2810000,13370000
820623-1652858,고선영,61200000,미혼,0,2,240000,770000,3500000,960000,140170000,86620000,22680000,480000,6210000,12160000
590506-2002885,이명자,91710000,기혼,2,3,3690000,2570000,6790000,1050000,113940000,10230000,22140000,900000,430000,15430000
490107-2087242,김명자,98030000,미혼,3,1,4210000,360000,6710000,860000,149790000,45190000,31800000,800000,1210000,14150000
900622-2075739,김영숙,62950000,미혼,0,2,4960000,270000,5060000,360000,55380000,13710000,35080000,1030000,6410000,18090000
200012-2111350,김지원,41840000,기혼,1,3,3060000,380000,4210000,1830000,24510000,52280000,30360000,1270000,1550000,12300000
680002-1046994,강정수,33720000,미혼,1,1,170000,1930000,2750000,1950000,102120000,18250000,40190000,2170000,4400000,13370000
580425-1199508,나예은,76090000,미혼,0,4,2810000,200000,2900000,860000,90010000,93700000,34250000,2920000,1790000,11480000
590706-2185228,류순옥,89690000,기혼,3,2,1790000,270000,3170000,280000,137090000,72290000,20910000,1210000,4650000,11370000
540023-2206839,이종수,64140000,기혼,1,3,3020000,2270000,7620000,100000,53890000,6470000,22350000,2820000,2640000,18470000
460617-1646063,김영환,55430000,기혼,3,3,3110000,2380000,4980000,1560000,46910000,99620000,18700000,1930000,5170000,19130000
570018-1622277,이성수,94700000,기혼,1,2,3270000,30000,2750000,1610000,40760000,51280000,22660000,2650000,4670000,14980000
970127-1881744,이지은,41390000,미혼,2,1,450000,2530000,6610000,1690000,158180000,42410000,46640000,190000,5070000,16540000
400313-2984246,김아름,68800000,미혼,2,2,3220000,910000,6250000,1120000,138810000,5840000,32020000,1940000,3340000,16780000
510002-1085913,최영호,74430000,기혼,2,3,4790000,1220000,3440000,1940000,11240000,36350000,3640000,3530000,2860000,17780000
500723-1244196,윤정순,82600000,기혼,3,1,870000,1240000,1120000,1340000,42060000,7540000,30520000,3810000,4670000,13050000
260004-2655034,송영길,74750000,기혼,3,1,3110000,180000,1680000,530000,22980000,61540000,3230000,3180000,3010000,11690000
640901-1837165,김은정,36390000,기혼,3,5,60000,2330000,4670000,40000,130490000,30890000,36500000,3790000,1870000,12760000
400527-2665234,김지민,20810000,미혼,1,4,1630000,1600000,5640000,110000,179160000,88820000,20850000,3610000,3380000,15970000
270519-1796388,권하윤,93860000,기혼,3,1,2750000,2390000,5690000,1960000,66530000,23700000,44520000,730000,6630000,20150000
220528-2290176,김영철,35650000,기혼,2,2,110000,1750000,4840000,1710000,163780000,94540000,37960000,2400000,600000,11410000
070929-2355936,이유진,94440000,미혼,1,3,530000,740000,1310000,1370000,72100000,54520000,44480000,2370000,6410000,12730000
710713-2488971,김성현,99370000,기혼,3,5,3430000,2720000,5000000,1670000,85690000,94150000,16860000,2370000,4910000,20100000
070629-1018828,이지연,72510000,기혼,3,3,4390000,920000,4240000,1390000,151110000,55800000,26600000,2720000,2930000,16590000
920310-2241205,이병철,80430000,미혼,3,2,1470000,1660000,3190000,1420000,159480000,14270000,17410000,3690000,6840000,18270000
560604-2119099,박정희,76480000,미혼,1,5,3040000,40000,520000,1870000,51520000,16190000,3080000,2880000,2670000,11020000
080912-2976007,최종수,22400000,기혼,0,2,4810000,840000,5490000,2000000,90520000,78560000,13520000,2070000,280000,15490000
000222-2369839,김재호,46870000,미혼,1,3,2530000,2990000,1700000,180000,190590000,95150000,39780000,1700000,580000,9680000
890818-2899476,김종수,76580000,기혼,0,4,570000,310000,1210000,1000000,23140000,25250000,45350000,2780000,6850000,12720000
710420-1987463,이경수,22010000,미혼,0,1,3340000,2360000,6360000,1020000,32820000,18150000,45440000,1630000,810000,15520000
190418-1897451,김지혜,57120000,기혼,1,4,2950000,930000,5360000,830000,66670000,46670000,13550000,650000,590000,11310000
660720-1478073,송민준,28930000,기혼,3,2,2710000,730000,1880000,1970000,158060000,84850000,25400000,1730000,3000000,12020000
120404-1518376,박경수,50050000,미혼,2,1,1260000,1680000,6280000,420000,25640000,53360000,33540000,2230000,2590000,14460000
220508-2186514,최재현,51070000,기혼,2,5,1510000,160000,6710000,910000,187150000,33000000,6500000,2210000,1180000,12680000
580701-1439049,김영식,36430000,미혼,1,1,1240000,2270000,1370000,110000,98400000,73940000,22580000,3900000,2170000,11060000
770904-2524878,허옥순,90230000,미혼,0,2,3540000,1440000,1060000,300000,15360000,28480000,4210000,1730000,6230000,14300000
570512-1968602,김순옥,59360000,기혼,3,4,1860000,1600000,5440000,1820000,181410000,72480000,46710000,2690000,3620000,17030000
910129-1609686,박서윤,52110000,기혼,2,1,1550000,1210000,1240000,570000,110580000,97230000,37930000,2480000,1520000,8570000
210004-1223198,양정희,28560000,기혼,2,4,370000,2040000,1670000,1690000,158900000,16920000,28930000,1240000,4630000,11640000
440404-2715832,백민지,54660000,미혼,2,2,950000,480000,6740000,1010000,19440000,18590000,13470000,2670000,4430000,16280000
